years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
2380,-30.283454545454546,277.3946308724832,-13.6,8.272,5.0558570619607845
2390,-30.42127272727273,277.455033557047,-11.3,8.226,5.029826514272446
2400,-30.505418181818182,277.51543624161076,-9.5,8.19,5.00374786377709
2410,-30.4911,277.5758389261745,-9.3,8.186,4.977626107812178
2420,-30.41566153846154,277.61607142857144,-8.5,8.17,4.95146624371517
2430,-30.3438,277.64285714285717,-7.9,8.158,4.9252732688235294
2440,-30.298971428571427,277.6696428571429,-7.4,8.148,4.899052180474716
2450,-30.312424999999998,277.69642857142856,-5.9,8.118,4.872807976006192
2460,-30.346799999999998,277.7232142857143,-4.3,8.086,4.8465456527554185
2470,-30.395454545454545,277.75,-5.1,8.102,4.820270208059855
2480,-30.387371428571427,277.7767857142857,-3.0,8.06,4.793986639256966
2490,-30.370228571428573,277.80357142857144,-3.3,8.066,4.767699943684211
2500,-30.352436363636365,277.8303571428571,-6.6,8.132,4.7414151186790505
2510,-30.3288,277.85714285714283,-5.1,8.102,4.715137161578948
2520,-30.353527272727273,277.88392857142856,-5.4,8.108,4.688871069721362
2530,-30.534,277.7431372549019,-3.9,8.078,4.662621840443757
2540,-30.692181818181815,277.3509803921568,-3.5,8.07,4.636394471083591
2550,-30.7494,276.95882352941175,-4.3,8.086,4.6101939589783285
2560,-30.803927272727275,276.56666666666666,-1.3,8.026,4.584025301465428
2570,-30.86728,276.1745098039215,0.3,7.994,4.557893495882353
2580,-30.8874,275.78235294117644,0.8,7.984,4.531803539566563
2590,-30.870472727272727,275.39019607843136,3.6,7.928,4.505760429855521
2600,-30.844327272727273,274.9980392156863,8.1,7.838,4.4797691640866875
2610,-30.807236363636363,274.60588235294114,10.7,7.786,4.453834739597523
2620,-30.737054545454548,274.21372549019605,4.5,7.91,4.427962153725491
2630,-30.7356,274.025,6.5,7.87,4.40215640380805
2640,-30.791236363636365,274.65,11.0,7.78,4.376422487182663
2650,-30.7896,275.275,14.2,7.716,4.350765401186791
2660,-30.723280000000003,275.9,17.4,7.652,4.3251901431578945
2670,-30.555963636363636,276.525,16.9,7.662,4.299701710433436
2680,-30.482960000000002,277.15,17.8,7.644,4.274305100350877
2690,-30.553309090909092,277.775,17.6,7.648,4.249005310247679
2700,-30.642763636363636,278.4,16.1,7.678,4.2238073374613005
2710,-30.75229090909091,278.8225806451613,14.6,7.708,4.198716179329205
2720,-30.853745454545454,278.43548387096774,13.7,7.726,4.173736833188855
2730,-30.918618181818182,278.0483870967742,10.0,7.8,4.148874296377709
2740,-30.95588,277.6612903225806,9.3,7.814,4.124133566233231
2750,-30.960254545454543,277.2741935483871,6.4,7.872,4.09951964009288
2760,-30.94396923076923,276.88709677419354,1.3,7.974,4.075037515294118
2770,-30.949815384615384,276.5,-0.1,8.002,4.0506921891744065
2780,-30.889499999999998,276.11290322580646,-1.0,8.02,4.026488659071208
2790,-30.800727272727272,275.7258064516129,-2.8,8.056,4.002431922321982
2800,-30.717745454545454,275.3387096774194,-2.3,8.046,3.9785269762641904
2810,-30.659018181818183,275.247572815534,-1.1,8.022,3.9547788182352943
2820,-30.60536,275.18932038834953,0.9,7.982,3.9311924455727554
2830,-30.559418181818184,275.13106796116506,3.8,7.924,3.907772855614035
2840,-30.54832,275.0728155339806,5.1,7.898,3.8845250456965945
2850,-30.5148,275.0145631067961,2.6,7.948,3.861454013157895
2860,-30.4476,274.95631067961165,0.9,7.982,3.8385647553353976
2870,-30.444399999999998,274.8980582524272,0.8,7.984,3.815862269566564
2880,-30.48488,274.8398058252427,-0.8,8.016,3.793351553188854
2890,-30.561272727272726,274.78155339805824,-1.7,8.034,3.7710376035397317
2900,-30.598,274.72330097087377,0.4,7.992,3.7489254179566562
2910,-30.526727272727275,274.91818181818184,3.1,7.938,3.72701999377709
2920,-30.5196,275.28181818181815,3.8,7.924,3.7053263283384936
2930,-30.562945454545456,275.6454545454545,3.5,7.93,3.6838494189783284
2940,-30.6016,276.0090909090909,3.7,7.926,3.662594263034056
